Configuration: {'START': '2001-01-01', 'END': '2024-09-01', 'N_STOCK': 50, 'LEN_DATA': 5000, 'TRAIN_LEN': 60, 'PRED_LEN': 20, 'TRAIN_RATIO': 0.7, 'RESULT_DIR': 'result/TCN_False_max_sharpe_60_20', 'MODELS': ['GRU', 'TCN', 'TRANSFORMER'], 'MULTIMODAL_OPTIONS': [False], 'LOSS_FUNCTIONS': ['max_sharpe', 'equal_risk_parity', 'mean_variance'], 'TRAIN_LEN_OPTIONS': [60], 'PRED_LEN_OPTIONS': [20], 'SEED': 42, 'BATCH': 32, 'EPOCHS': 500, 'EARLY_STOP': 20, 'LR': 0.005, 'MOMENTUM': 0.9, 'USE_CUDA': True, 'LB': 0, 'UB': 0.2, 'N_FEAT': 50, 'BETA': 0.2, 'LOSS_FUNCTION': 'max_sharpe', 'TCN': {'n_output': 50, 'kernel_size': 4, 'n_dropout': 0.1, 'n_timestep': 60, 'hidden_size': 64, 'level': 3}, 'GRU': {'n_layers': 1, 'hidden_dim': 128, 'dropout_p': 0.3, 'bidirectional': False}, 'TRANSFORMER': {'n_timestep': 60, 'n_layer': 6, 'n_head': 5, 'n_dropout': 0.1, 'n_output': 50}, 'MODEL': 'TCN', 'MULTIMODAL': False}
Model: tcn, Multimodal: False, Loss Function: max_sharpe
Loading and processing data...
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_32_loss_0.0064.pth
Epoch 33/500, Training Loss: 0.005378
Epoch 33/500, Validation Loss: 0.006425
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_33_loss_0.0064.pth
Epoch 34/500, Training Loss: 0.005347
Epoch 34/500, Validation Loss: 0.006405
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_34_loss_0.0064.pth
Epoch 35/500, Training Loss: 0.005316
Epoch 35/500, Validation Loss: 0.006385
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_35_loss_0.0064.pth
Epoch 36/500, Training Loss: 0.005290
Epoch 36/500, Validation Loss: 0.006366
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_36_loss_0.0064.pth
Epoch 37/500, Training Loss: 0.005260
Epoch 37/500, Validation Loss: 0.006347
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_37_loss_0.0063.pth
Epoch 38/500, Training Loss: 0.005232
Epoch 38/500, Validation Loss: 0.006328
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_38_loss_0.0063.pth
Epoch 39/500, Training Loss: 0.005205
Epoch 39/500, Validation Loss: 0.006310
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_39_loss_0.0063.pth
Epoch 40/500, Training Loss: 0.005177
Epoch 40/500, Validation Loss: 0.006292
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_40_loss_0.0063.pth
Epoch 41/500, Training Loss: 0.005151
Epoch 41/500, Validation Loss: 0.006274
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_41_loss_0.0063.pth
Epoch 42/500, Training Loss: 0.005126
Epoch 42/500, Validation Loss: 0.006257
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_42_loss_0.0063.pth
Epoch 43/500, Training Loss: 0.005102
Epoch 43/500, Validation Loss: 0.006240
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_43_loss_0.0062.pth
Epoch 44/500, Training Loss: 0.005078
Epoch 44/500, Validation Loss: 0.006223
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_44_loss_0.0062.pth
Epoch 45/500, Training Loss: 0.005053
Epoch 45/500, Validation Loss: 0.006207
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_45_loss_0.0062.pth
Epoch 46/500, Training Loss: 0.005032
Epoch 46/500, Validation Loss: 0.006191
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_46_loss_0.0062.pth
Epoch 47/500, Training Loss: 0.005010
Epoch 47/500, Validation Loss: 0.006176
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_47_loss_0.0062.pth
Epoch 48/500, Training Loss: 0.004990
Epoch 48/500, Validation Loss: 0.006161
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_48_loss_0.0062.pth
Epoch 49/500, Training Loss: 0.004966
Epoch 49/500, Validation Loss: 0.006145
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_49_loss_0.0061.pth
Epoch 50/500, Training Loss: 0.004947
Epoch 50/500, Validation Loss: 0.006131
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_50_loss_0.0061.pth
Epoch 51/500, Training Loss: 0.004926
Epoch 51/500, Validation Loss: 0.006117
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_51_loss_0.0061.pth
Epoch 52/500, Training Loss: 0.004911
Epoch 52/500, Validation Loss: 0.006103
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_52_loss_0.0061.pth
Epoch 53/500, Training Loss: 0.004891
Epoch 53/500, Validation Loss: 0.006089
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_53_loss_0.0061.pth
Epoch 54/500, Training Loss: 0.004873
Epoch 54/500, Validation Loss: 0.006076
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_54_loss_0.0061.pth
Epoch 55/500, Training Loss: 0.004857
Epoch 55/500, Validation Loss: 0.006064
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_55_loss_0.0061.pth
Epoch 56/500, Training Loss: 0.004839
Epoch 56/500, Validation Loss: 0.006051
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_56_loss_0.0061.pth
Epoch 57/500, Training Loss: 0.004826
Epoch 57/500, Validation Loss: 0.006039
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_57_loss_0.0060.pth
Epoch 58/500, Training Loss: 0.004810
Epoch 58/500, Validation Loss: 0.006028
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_58_loss_0.0060.pth
Epoch 59/500, Training Loss: 0.004795
Epoch 59/500, Validation Loss: 0.006017
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_59_loss_0.0060.pth
Epoch 60/500, Training Loss: 0.004782
Epoch 60/500, Validation Loss: 0.006006
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_60_loss_0.0060.pth
Epoch 61/500, Training Loss: 0.004769
Epoch 61/500, Validation Loss: 0.005995
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_61_loss_0.0060.pth
Epoch 62/500, Training Loss: 0.004756
Epoch 62/500, Validation Loss: 0.005985
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_62_loss_0.0060.pth
Epoch 63/500, Training Loss: 0.004745
Epoch 63/500, Validation Loss: 0.005975
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_63_loss_0.0060.pth
Epoch 64/500, Training Loss: 0.004733
Epoch 64/500, Validation Loss: 0.005966
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_64_loss_0.0060.pth
Epoch 65/500, Training Loss: 0.004721
Epoch 65/500, Validation Loss: 0.005956
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_65_loss_0.0060.pth
Epoch 66/500, Training Loss: 0.004711
Epoch 66/500, Validation Loss: 0.005947
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_66_loss_0.0059.pth
Epoch 67/500, Training Loss: 0.004703
Epoch 67/500, Validation Loss: 0.005939
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_67_loss_0.0059.pth
Epoch 68/500, Training Loss: 0.004691
Epoch 68/500, Validation Loss: 0.005931
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_68_loss_0.0059.pth
Epoch 69/500, Training Loss: 0.004683
Epoch 69/500, Validation Loss: 0.005923
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_69_loss_0.0059.pth
Epoch 70/500, Training Loss: 0.004673
Epoch 70/500, Validation Loss: 0.005915
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_70_loss_0.0059.pth
Epoch 71/500, Training Loss: 0.004666
Epoch 71/500, Validation Loss: 0.005908
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_71_loss_0.0059.pth
Epoch 72/500, Training Loss: 0.004657
Epoch 72/500, Validation Loss: 0.005901
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_72_loss_0.0059.pth
Epoch 73/500, Training Loss: 0.004651
Epoch 73/500, Validation Loss: 0.005894
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_73_loss_0.0059.pth
Epoch 74/500, Training Loss: 0.004642
Epoch 74/500, Validation Loss: 0.005887
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_74_loss_0.0059.pth
Epoch 75/500, Training Loss: 0.004637
Epoch 75/500, Validation Loss: 0.005881
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_75_loss_0.0059.pth
Epoch 76/500, Training Loss: 0.004629
Epoch 76/500, Validation Loss: 0.005875
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_76_loss_0.0059.pth
Epoch 77/500, Training Loss: 0.004623
Epoch 77/500, Validation Loss: 0.005869
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_77_loss_0.0059.pth
Epoch 78/500, Training Loss: 0.004617
Epoch 78/500, Validation Loss: 0.005863
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_78_loss_0.0059.pth
Epoch 79/500, Training Loss: 0.004611
Epoch 79/500, Validation Loss: 0.005858
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_79_loss_0.0059.pth
Epoch 80/500, Training Loss: 0.004605
Epoch 80/500, Validation Loss: 0.005853
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_80_loss_0.0059.pth
Epoch 81/500, Training Loss: 0.004600
Epoch 81/500, Validation Loss: 0.005848
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_81_loss_0.0058.pth
Epoch 82/500, Training Loss: 0.004596
Epoch 82/500, Validation Loss: 0.005843
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_82_loss_0.0058.pth
Epoch 83/500, Training Loss: 0.004590
Epoch 83/500, Validation Loss: 0.005838
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_83_loss_0.0058.pth
Epoch 84/500, Training Loss: 0.004588
Epoch 84/500, Validation Loss: 0.005834
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_84_loss_0.0058.pth
Epoch 85/500, Training Loss: 0.004583
Epoch 85/500, Validation Loss: 0.005830
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_85_loss_0.0058.pth
Epoch 86/500, Training Loss: 0.004578
Epoch 86/500, Validation Loss: 0.005826
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_86_loss_0.0058.pth
Epoch 87/500, Training Loss: 0.004573
Epoch 87/500, Validation Loss: 0.005822
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_87_loss_0.0058.pth
Epoch 88/500, Training Loss: 0.004570
Epoch 88/500, Validation Loss: 0.005818
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_88_loss_0.0058.pth
Epoch 89/500, Training Loss: 0.004565
Epoch 89/500, Validation Loss: 0.005815
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_89_loss_0.0058.pth
Epoch 90/500, Training Loss: 0.004563
Epoch 90/500, Validation Loss: 0.005811
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_90_loss_0.0058.pth
Epoch 91/500, Training Loss: 0.004561
Epoch 91/500, Validation Loss: 0.005808
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_91_loss_0.0058.pth
Epoch 92/500, Training Loss: 0.004557
Epoch 92/500, Validation Loss: 0.005805
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_92_loss_0.0058.pth
Epoch 93/500, Training Loss: 0.004554
Epoch 93/500, Validation Loss: 0.005802
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_93_loss_0.0058.pth
Epoch 94/500, Training Loss: 0.004552
Epoch 94/500, Validation Loss: 0.005799
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_94_loss_0.0058.pth
Epoch 95/500, Training Loss: 0.004546
Epoch 95/500, Validation Loss: 0.005796
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_95_loss_0.0058.pth
Epoch 96/500, Training Loss: 0.004544
Epoch 96/500, Validation Loss: 0.005793
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_96_loss_0.0058.pth
Epoch 97/500, Training Loss: 0.004541
Epoch 97/500, Validation Loss: 0.005791
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_97_loss_0.0058.pth
Epoch 98/500, Training Loss: 0.004539
Epoch 98/500, Validation Loss: 0.005789
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_98_loss_0.0058.pth
Epoch 99/500, Training Loss: 0.004539
Epoch 99/500, Validation Loss: 0.005787
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_99_loss_0.0058.pth
Epoch 100/500, Training Loss: 0.004536
Epoch 100/500, Validation Loss: 0.005784
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_100_loss_0.0058.pth
Epoch 101/500, Training Loss: 0.004533
Epoch 101/500, Validation Loss: 0.005783
Best model saved to result/TCN_False_equal_risk_parity_60_20/models/tcn_False/best_model_epoch_101_loss_0.0058.pth
