Configuration: {'START': '2001-01-01', 'END': '2024-09-01', 'N_STOCK': 50, 'LEN_DATA': 5000, 'TRAIN_LEN': 60, 'PRED_LEN': 20, 'TRAIN_RATIO': 0.7, 'RESULT_DIR': 'result/GRU_False_equal_risk_parity_60_20', 'MODELS': ['GRU', 'TCN', 'TRANSFORMER'], 'MULTIMODAL_OPTIONS': [False], 'LOSS_FUNCTIONS': ['max_sharpe', 'equal_risk_parity', 'mean_variance'], 'TRAIN_LEN_OPTIONS': [60], 'PRED_LEN_OPTIONS': [20], 'SEED': 42, 'BATCH': 32, 'EPOCHS': 500, 'EARLY_STOP': 20, 'LR': 0.005, 'MOMENTUM': 0.9, 'USE_CUDA': True, 'LB': 0, 'UB': 0.2, 'N_FEAT': 50, 'BETA': 0.2, 'LOSS_FUNCTION': 'equal_risk_parity', 'TCN': {'n_output': 50, 'kernel_size': 4, 'n_dropout': 0.1, 'n_timestep': 60, 'hidden_size': 64, 'level': 3}, 'GRU': {'n_layers': 1, 'hidden_dim': 128, 'dropout_p': 0.3, 'bidirectional': False}, 'TRANSFORMER': {'n_timestep': 60, 'n_layer': 6, 'n_head': 5, 'n_dropout': 0.1, 'n_output': 50}, 'MODEL': 'GRU', 'MULTIMODAL': False}
Model: gru, Multimodal: False, Loss Function: equal_risk_parity
Loading and processing data...
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_7_loss_0.0076.pth
Epoch 8/500, Training Loss: 0.006892
Epoch 8/500, Validation Loss: 0.007577
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_8_loss_0.0076.pth
Epoch 9/500, Training Loss: 0.006875
Epoch 9/500, Validation Loss: 0.007559
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_9_loss_0.0076.pth
Epoch 10/500, Training Loss: 0.006853
Epoch 10/500, Validation Loss: 0.007541
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_10_loss_0.0075.pth
Epoch 11/500, Training Loss: 0.006832
Epoch 11/500, Validation Loss: 0.007523
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_11_loss_0.0075.pth
Epoch 12/500, Training Loss: 0.006821
Epoch 12/500, Validation Loss: 0.007507
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_12_loss_0.0075.pth
Epoch 13/500, Training Loss: 0.006797
Epoch 13/500, Validation Loss: 0.007490
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_13_loss_0.0075.pth
Epoch 14/500, Training Loss: 0.006780
Epoch 14/500, Validation Loss: 0.007474
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_14_loss_0.0075.pth
Epoch 15/500, Training Loss: 0.006763
Epoch 15/500, Validation Loss: 0.007459
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_15_loss_0.0075.pth
Epoch 16/500, Training Loss: 0.006743
Epoch 16/500, Validation Loss: 0.007443
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_16_loss_0.0074.pth
Epoch 17/500, Training Loss: 0.006726
Epoch 17/500, Validation Loss: 0.007429
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_17_loss_0.0074.pth
Epoch 18/500, Training Loss: 0.006714
Epoch 18/500, Validation Loss: 0.007414
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_18_loss_0.0074.pth
Epoch 19/500, Training Loss: 0.006696
Epoch 19/500, Validation Loss: 0.007400
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_19_loss_0.0074.pth
Epoch 20/500, Training Loss: 0.006681
Epoch 20/500, Validation Loss: 0.007386
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_20_loss_0.0074.pth
Epoch 21/500, Training Loss: 0.006672
Epoch 21/500, Validation Loss: 0.007372
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_21_loss_0.0074.pth
Epoch 22/500, Training Loss: 0.006652
Epoch 22/500, Validation Loss: 0.007359
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_22_loss_0.0074.pth
Epoch 23/500, Training Loss: 0.006633
Epoch 23/500, Validation Loss: 0.007345
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_23_loss_0.0073.pth
Epoch 24/500, Training Loss: 0.006620
Epoch 24/500, Validation Loss: 0.007333
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_24_loss_0.0073.pth
Epoch 25/500, Training Loss: 0.006612
Epoch 25/500, Validation Loss: 0.007320
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_25_loss_0.0073.pth
Epoch 26/500, Training Loss: 0.006596
Epoch 26/500, Validation Loss: 0.007307
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_26_loss_0.0073.pth
Epoch 27/500, Training Loss: 0.006578
Epoch 27/500, Validation Loss: 0.007295
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_27_loss_0.0073.pth
Epoch 28/500, Training Loss: 0.006562
Epoch 28/500, Validation Loss: 0.007283
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_28_loss_0.0073.pth
Epoch 29/500, Training Loss: 0.006549
Epoch 29/500, Validation Loss: 0.007271
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_29_loss_0.0073.pth
Epoch 30/500, Training Loss: 0.006545
Epoch 30/500, Validation Loss: 0.007260
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_30_loss_0.0073.pth
Epoch 31/500, Training Loss: 0.006527
Epoch 31/500, Validation Loss: 0.007248
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_31_loss_0.0072.pth
Epoch 32/500, Training Loss: 0.006506
Epoch 32/500, Validation Loss: 0.007237
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_32_loss_0.0072.pth
Epoch 33/500, Training Loss: 0.006497
Epoch 33/500, Validation Loss: 0.007226
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_33_loss_0.0072.pth
Epoch 34/500, Training Loss: 0.006482
Epoch 34/500, Validation Loss: 0.007215
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_34_loss_0.0072.pth
Epoch 35/500, Training Loss: 0.006471
Epoch 35/500, Validation Loss: 0.007204
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_35_loss_0.0072.pth
Epoch 36/500, Training Loss: 0.006459
Epoch 36/500, Validation Loss: 0.007193
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_36_loss_0.0072.pth
Epoch 37/500, Training Loss: 0.006451
Epoch 37/500, Validation Loss: 0.007182
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_37_loss_0.0072.pth
Epoch 38/500, Training Loss: 0.006442
Epoch 38/500, Validation Loss: 0.007172
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_38_loss_0.0072.pth
Epoch 39/500, Training Loss: 0.006420
Epoch 39/500, Validation Loss: 0.007161
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_39_loss_0.0072.pth
Epoch 40/500, Training Loss: 0.006411
Epoch 40/500, Validation Loss: 0.007151
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_40_loss_0.0072.pth
Epoch 41/500, Training Loss: 0.006399
Epoch 41/500, Validation Loss: 0.007141
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_41_loss_0.0071.pth
Epoch 42/500, Training Loss: 0.006389
Epoch 42/500, Validation Loss: 0.007131
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_42_loss_0.0071.pth
Epoch 43/500, Training Loss: 0.006380
Epoch 43/500, Validation Loss: 0.007121
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_43_loss_0.0071.pth
Epoch 44/500, Training Loss: 0.006367
Epoch 44/500, Validation Loss: 0.007111
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_44_loss_0.0071.pth
Epoch 45/500, Training Loss: 0.006358
Epoch 45/500, Validation Loss: 0.007102
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_45_loss_0.0071.pth
Epoch 46/500, Training Loss: 0.006344
Epoch 46/500, Validation Loss: 0.007092
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_46_loss_0.0071.pth
Epoch 47/500, Training Loss: 0.006331
Epoch 47/500, Validation Loss: 0.007083
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_47_loss_0.0071.pth
Epoch 48/500, Training Loss: 0.006318
Epoch 48/500, Validation Loss: 0.007073
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_48_loss_0.0071.pth
Epoch 49/500, Training Loss: 0.006306
Epoch 49/500, Validation Loss: 0.007064
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_49_loss_0.0071.pth
Epoch 50/500, Training Loss: 0.006298
Epoch 50/500, Validation Loss: 0.007055
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_50_loss_0.0071.pth
Epoch 51/500, Training Loss: 0.006291
Epoch 51/500, Validation Loss: 0.007045
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_51_loss_0.0070.pth
Epoch 52/500, Training Loss: 0.006276
Epoch 52/500, Validation Loss: 0.007036
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_52_loss_0.0070.pth
Epoch 53/500, Training Loss: 0.006268
Epoch 53/500, Validation Loss: 0.007027
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_53_loss_0.0070.pth
Epoch 54/500, Training Loss: 0.006258
Epoch 54/500, Validation Loss: 0.007018
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_54_loss_0.0070.pth
Epoch 55/500, Training Loss: 0.006246
Epoch 55/500, Validation Loss: 0.007009
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_55_loss_0.0070.pth
Epoch 56/500, Training Loss: 0.006236
Epoch 56/500, Validation Loss: 0.007001
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_56_loss_0.0070.pth
Epoch 57/500, Training Loss: 0.006223
Epoch 57/500, Validation Loss: 0.006992
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_57_loss_0.0070.pth
Epoch 58/500, Training Loss: 0.006214
Epoch 58/500, Validation Loss: 0.006983
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_58_loss_0.0070.pth
Epoch 59/500, Training Loss: 0.006207
Epoch 59/500, Validation Loss: 0.006975
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_59_loss_0.0070.pth
Epoch 60/500, Training Loss: 0.006196
Epoch 60/500, Validation Loss: 0.006966
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_60_loss_0.0070.pth
Epoch 61/500, Training Loss: 0.006184
Epoch 61/500, Validation Loss: 0.006958
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_61_loss_0.0070.pth
Epoch 62/500, Training Loss: 0.006179
Epoch 62/500, Validation Loss: 0.006949
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_62_loss_0.0069.pth
Epoch 63/500, Training Loss: 0.006166
Epoch 63/500, Validation Loss: 0.006941
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_63_loss_0.0069.pth
Epoch 64/500, Training Loss: 0.006154
Epoch 64/500, Validation Loss: 0.006933
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_64_loss_0.0069.pth
Epoch 65/500, Training Loss: 0.006147
Epoch 65/500, Validation Loss: 0.006924
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_65_loss_0.0069.pth
Epoch 66/500, Training Loss: 0.006132
Epoch 66/500, Validation Loss: 0.006916
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_66_loss_0.0069.pth
Epoch 67/500, Training Loss: 0.006124
Epoch 67/500, Validation Loss: 0.006908
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_67_loss_0.0069.pth
Epoch 68/500, Training Loss: 0.006117
Epoch 68/500, Validation Loss: 0.006900
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_68_loss_0.0069.pth
Epoch 69/500, Training Loss: 0.006106
Epoch 69/500, Validation Loss: 0.006892
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_69_loss_0.0069.pth
Epoch 70/500, Training Loss: 0.006101
Epoch 70/500, Validation Loss: 0.006884
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_70_loss_0.0069.pth
Epoch 71/500, Training Loss: 0.006091
Epoch 71/500, Validation Loss: 0.006876
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_71_loss_0.0069.pth
Epoch 72/500, Training Loss: 0.006082
Epoch 72/500, Validation Loss: 0.006868
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_72_loss_0.0069.pth
Epoch 73/500, Training Loss: 0.006068
Epoch 73/500, Validation Loss: 0.006860
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_73_loss_0.0069.pth
Epoch 74/500, Training Loss: 0.006065
Epoch 74/500, Validation Loss: 0.006852
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_74_loss_0.0069.pth
Epoch 75/500, Training Loss: 0.006053
Epoch 75/500, Validation Loss: 0.006844
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_75_loss_0.0068.pth
Epoch 76/500, Training Loss: 0.006040
Epoch 76/500, Validation Loss: 0.006836
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_76_loss_0.0068.pth
Epoch 77/500, Training Loss: 0.006032
Epoch 77/500, Validation Loss: 0.006829
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_77_loss_0.0068.pth
Epoch 78/500, Training Loss: 0.006029
Epoch 78/500, Validation Loss: 0.006821
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_78_loss_0.0068.pth
Epoch 79/500, Training Loss: 0.006016
Epoch 79/500, Validation Loss: 0.006813
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_79_loss_0.0068.pth
Epoch 80/500, Training Loss: 0.006009
Epoch 80/500, Validation Loss: 0.006805
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_80_loss_0.0068.pth
Epoch 81/500, Training Loss: 0.005998
Epoch 81/500, Validation Loss: 0.006798
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_81_loss_0.0068.pth
Epoch 82/500, Training Loss: 0.005988
Epoch 82/500, Validation Loss: 0.006790
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_82_loss_0.0068.pth
Epoch 83/500, Training Loss: 0.005982
Epoch 83/500, Validation Loss: 0.006783
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_83_loss_0.0068.pth
Epoch 84/500, Training Loss: 0.005974
Epoch 84/500, Validation Loss: 0.006775
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_84_loss_0.0068.pth
Epoch 85/500, Training Loss: 0.005965
Epoch 85/500, Validation Loss: 0.006768
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_85_loss_0.0068.pth
Epoch 86/500, Training Loss: 0.005955
Epoch 86/500, Validation Loss: 0.006760
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_86_loss_0.0068.pth
Epoch 87/500, Training Loss: 0.005949
Epoch 87/500, Validation Loss: 0.006753
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_87_loss_0.0068.pth
Epoch 88/500, Training Loss: 0.005940
Epoch 88/500, Validation Loss: 0.006745
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_88_loss_0.0067.pth
Epoch 89/500, Training Loss: 0.005923
Epoch 89/500, Validation Loss: 0.006738
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_89_loss_0.0067.pth
Epoch 90/500, Training Loss: 0.005920
Epoch 90/500, Validation Loss: 0.006731
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_90_loss_0.0067.pth
Epoch 91/500, Training Loss: 0.005913
Epoch 91/500, Validation Loss: 0.006723
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_91_loss_0.0067.pth
Epoch 92/500, Training Loss: 0.005905
Epoch 92/500, Validation Loss: 0.006716
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_92_loss_0.0067.pth
Epoch 93/500, Training Loss: 0.005893
Epoch 93/500, Validation Loss: 0.006708
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_93_loss_0.0067.pth
Epoch 94/500, Training Loss: 0.005888
Epoch 94/500, Validation Loss: 0.006701
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_94_loss_0.0067.pth
Epoch 95/500, Training Loss: 0.005880
Epoch 95/500, Validation Loss: 0.006694
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_95_loss_0.0067.pth
Epoch 96/500, Training Loss: 0.005872
Epoch 96/500, Validation Loss: 0.006687
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_96_loss_0.0067.pth
Epoch 97/500, Training Loss: 0.005864
Epoch 97/500, Validation Loss: 0.006680
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_97_loss_0.0067.pth
Epoch 98/500, Training Loss: 0.005855
Epoch 98/500, Validation Loss: 0.006672
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_98_loss_0.0067.pth
Epoch 99/500, Training Loss: 0.005848
Epoch 99/500, Validation Loss: 0.006665
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_99_loss_0.0067.pth
Epoch 100/500, Training Loss: 0.005836
Epoch 100/500, Validation Loss: 0.006658
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_100_loss_0.0067.pth
Epoch 101/500, Training Loss: 0.005833
Epoch 101/500, Validation Loss: 0.006651
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_101_loss_0.0067.pth
Epoch 102/500, Training Loss: 0.005824
Epoch 102/500, Validation Loss: 0.006644
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_102_loss_0.0066.pth
Epoch 103/500, Training Loss: 0.005819
Epoch 103/500, Validation Loss: 0.006637
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_103_loss_0.0066.pth
Epoch 104/500, Training Loss: 0.005805
Epoch 104/500, Validation Loss: 0.006630
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_104_loss_0.0066.pth
Epoch 105/500, Training Loss: 0.005796
Epoch 105/500, Validation Loss: 0.006622
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_105_loss_0.0066.pth
Epoch 106/500, Training Loss: 0.005785
Epoch 106/500, Validation Loss: 0.006615
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_106_loss_0.0066.pth
Epoch 107/500, Training Loss: 0.005782
Epoch 107/500, Validation Loss: 0.006608
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_107_loss_0.0066.pth
Epoch 108/500, Training Loss: 0.005774
Epoch 108/500, Validation Loss: 0.006601
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_108_loss_0.0066.pth
Epoch 109/500, Training Loss: 0.005765
Epoch 109/500, Validation Loss: 0.006594
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_109_loss_0.0066.pth
Epoch 110/500, Training Loss: 0.005758
Epoch 110/500, Validation Loss: 0.006587
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_110_loss_0.0066.pth
Epoch 111/500, Training Loss: 0.005752
Epoch 111/500, Validation Loss: 0.006580
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_111_loss_0.0066.pth
Epoch 112/500, Training Loss: 0.005746
Epoch 112/500, Validation Loss: 0.006573
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_112_loss_0.0066.pth
Epoch 113/500, Training Loss: 0.005734
Epoch 113/500, Validation Loss: 0.006566
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_113_loss_0.0066.pth
Epoch 114/500, Training Loss: 0.005724
Epoch 114/500, Validation Loss: 0.006559
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_114_loss_0.0066.pth
Epoch 115/500, Training Loss: 0.005716
Epoch 115/500, Validation Loss: 0.006552
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_115_loss_0.0066.pth
Epoch 116/500, Training Loss: 0.005714
Epoch 116/500, Validation Loss: 0.006546
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_116_loss_0.0065.pth
Epoch 117/500, Training Loss: 0.005702
Epoch 117/500, Validation Loss: 0.006539
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_117_loss_0.0065.pth
Epoch 118/500, Training Loss: 0.005696
Epoch 118/500, Validation Loss: 0.006532
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_118_loss_0.0065.pth
Epoch 119/500, Training Loss: 0.005691
Epoch 119/500, Validation Loss: 0.006525
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_119_loss_0.0065.pth
Epoch 120/500, Training Loss: 0.005682
Epoch 120/500, Validation Loss: 0.006518
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_120_loss_0.0065.pth
Epoch 121/500, Training Loss: 0.005674
Epoch 121/500, Validation Loss: 0.006511
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_121_loss_0.0065.pth
Epoch 122/500, Training Loss: 0.005668
Epoch 122/500, Validation Loss: 0.006504
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_122_loss_0.0065.pth
Epoch 123/500, Training Loss: 0.005658
Epoch 123/500, Validation Loss: 0.006498
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_123_loss_0.0065.pth
Epoch 124/500, Training Loss: 0.005651
Epoch 124/500, Validation Loss: 0.006491
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_124_loss_0.0065.pth
Epoch 125/500, Training Loss: 0.005640
Epoch 125/500, Validation Loss: 0.006484
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_125_loss_0.0065.pth
Epoch 126/500, Training Loss: 0.005635
Epoch 126/500, Validation Loss: 0.006477
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_126_loss_0.0065.pth
Epoch 127/500, Training Loss: 0.005629
Epoch 127/500, Validation Loss: 0.006470
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_127_loss_0.0065.pth
Epoch 128/500, Training Loss: 0.005620
Epoch 128/500, Validation Loss: 0.006464
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_128_loss_0.0065.pth
Epoch 129/500, Training Loss: 0.005605
Epoch 129/500, Validation Loss: 0.006457
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_129_loss_0.0065.pth
